driverId,week,hours-logged,miles-logged
64,25,59,3700
26,21,53,2100
68,51,50,3200
35,27,61,0
65,39,65,500
70,18,63,1300
17,10,66,2100
22,16,50,2300
91,11,58,2100
70,34,76,3900
20,13,62,2800
72,27,70,1000
44,13,71,1100
61,47,70,100
14,46,80,100
109,24,71,2200
22,33,54,3100
62,1,59,1500
82,12,69,2400
93,6,65,0
88,5,71,2300
97,28,57,1300
53,34,51,3000
59,2,53,3600
12,47,77,2700
53,38,53,2600
43,15,57,300
19,24,73,100
58,32,80,1400
21,14,76,1800
106,27,52,3800
58,44,72,1300
100,19,58,2800
91,38,65,700
63,13,75,1900
25,42,68,1200
21,9,72,3500
36,14,71,100
106,17,66,900
28,3,56,2000
75,51,68,3700
72,40,53,2000
19,17,63,3700
19,21,62,900
84,32,64,3800
99,12,50,2100
48,34,68,100
40,1,52,2300
44,2,80,1500
60,47,70,1500
55,38,76,1700
40,51,56,1800
66,22,61,400
101,35,74,3100
54,46,56,700
71,5,55,400
47,34,52,3400
65,18,56,2200
12,23,78,3900
82,50,60,700
100,19,66,3300
109,50,50,1300
91,20,62,1000
95,8,61,1700
15,43,59,1600
76,43,54,300
90,5,80,3400
17,25,74,2400
11,35,65,1700
93,34,52,3700
71,19,68,3500
93,15,55,100
42,14,74,3500
28,50,62,3800
45,10,78,1900
105,19,65,3700
78,45,53,2200
57,43,78,900
106,28,75,3400
102,19,76,3600
25,6,53,0
30,5,64,2200
75,2,65,3600
83,5,74,3300
52,28,76,400
101,7,71,1500
41,41,55,1000
28,23,69,200
21,25,78,300
56,51,76,3500
79,9,70,3400
18,46,64,1600
16,40,57,3700
54,37,62,1200
72,28,69,1500
17,39,59,3700
38,45,53,1200
102,20,74,100
67,20,68,1100
56,14,62,2200
43,11,55,800
92,41,61,2300
93,34,58,3700
77,44,68,1300
41,9,54,700
109,10,72,2600
77,13,65,800
85,43,61,100
63,43,77,1700
15,19,75,1400
24,34,79,1000
89,51,67,3800
98,22,65,300
99,38,77,3100
98,11,57,2100
57,50,70,1200
80,47,69,500
23,26,77,1000
11,25,73,4000
11,12,75,600
62,36,77,1100
39,10,64,1100
24,10,73,3900
26,11,51,3500
55,40,55,2800
43,49,59,1500
42,26,74,1700
16,38,53,3000
32,44,64,2200
100,8,57,1900
66,11,69,1800
102,36,62,1400
47,52,76,1000
88,37,60,3000
87,9,80,2200
100,51,61,1000
81,27,77,1000
82,37,65,1800
42,33,63,2300
102,26,50,3600
47,24,70,3000
67,18,53,2200
29,50,71,200
14,33,63,2400
83,44,76,1100
86,9,54,400
98,9,62,2500
101,32,70,3200
65,7,80,1400
85,33,62,700
14,14,69,1300
84,49,58,3600
69,40,54,2500
92,34,63,3000
37,36,54,4000
45,9,66,1700
68,26,79,100
21,19,63,3100
15,4,59,900
30,41,67,2900
64,1,72,1200
31,50,64,900
109,14,78,1700
79,8,54,800
71,27,64,200
78,37,51,700
92,47,66,700
87,39,80,2700
87,43,76,3600
68,28,65,1800
21,26,51,3500
50,23,58,2000
67,52,57,900
21,8,75,700
51,39,74,3200
53,50,66,800
21,46,50,900
42,5,76,1800
22,34,52,2600
55,4,60,1700
78,17,66,1100
21,40,76,600
90,39,63,3300
31,10,80,3600
103,26,77,3000
45,41,76,800
45,45,60,3500
84,1,56,800
36,46,80,3800
39,36,61,2400
30,16,76,1700
26,16,53,2300
75,37,78,1900
103,38,64,3200
90,17,62,500
19,27,67,3600
96,24,78,100
24,33,61,1100
74,11,78,3800
44,7,76,2500
63,11,66,2700
28,4,56,1900
84,47,67,3500
62,29,58,0
88,51,70,1900
42,39,74,2500
81,33,67,600
44,38,53,2800
85,50,56,700
85,41,56,600
50,11,51,1600
19,22,70,900
11,43,78,1600
101,13,73,1200
103,44,52,300
10,2,59,3300
106,46,62,1000
28,7,74,300
22,29,76,2700
85,27,63,200
59,51,56,500
87,20,54,3500
42,16,78,1000
27,27,65,1300
55,48,73,1000
94,33,80,4000
67,46,79,3400
11,35,51,2200
57,48,52,3600
62,51,50,200
100,35,66,3600
103,45,61,2000
74,37,52,3200
75,17,75,100
61,23,51,3800
103,46,61,900
86,42,56,2600
59,44,54,3100
41,41,73,900
47,32,79,4000
51,17,71,900
90,22,73,900
49,12,62,3300
75,30,66,1300
55,48,78,1800
105,17,51,2800
63,50,63,2900
76,34,54,3800
99,47,55,3400
72,47,68,1600
56,36,74,3000
58,14,74,3200
107,47,56,1400
97,17,80,3200
84,41,57,3500
63,12,67,2900
109,34,61,3900
52,31,72,1400
92,44,76,2600
49,23,80,3800
65,15,76,2000
38,11,57,3100
74,47,61,300
25,33,64,3000
32,18,66,3300
90,9,55,3100
56,25,67,2100
82,51,64,800
51,13,77,2700
63,9,60,0
27,48,51,1000
27,26,71,3100
80,7,53,1200
39,48,65,3400
41,48,73,2200
33,43,69,2700
15,47,77,1800
62,15,79,2000
31,24,51,2900
46,35,57,2900
51,23,73,500
75,52,54,2100
48,52,62,200
92,32,62,2200
67,21,66,1200
69,38,65,2700
101,9,53,1000
15,40,54,1600
58,36,71,1300
75,48,66,2300
86,16,73,3700
90,22,72,2700
30,44,55,1800
101,52,57,1400
37,16,72,3200
93,1,57,1400
105,24,66,3900
83,46,51,3000
15,6,61,2300
71,27,80,2100
12,36,56,2200
56,48,54,2700
98,26,56,3900
72,13,79,3700
95,22,62,800
103,29,57,3600
31,4,58,500
41,24,52,500
33,52,76,700
82,36,64,3400
88,16,62,2800
26,28,64,3900
18,3,61,3400
55,10,79,100
50,49,66,3900
65,31,51,1900
25,23,62,2400
98,40,72,3600
73,43,65,1700
20,15,50,0
56,15,67,800
39,48,57,2200
72,18,68,1300
67,36,66,3400
107,51,79,0
23,40,55,2600
44,11,70,100
50,50,58,3400
16,45,66,2000
47,42,78,3100
83,38,76,1100
31,16,67,2700
64,23,79,400
83,45,79,400
95,23,73,1500
85,45,74,1600
62,32,51,700
17,22,60,1500
67,32,76,3500
86,3,52,800
35,46,62,100
75,22,59,2600
86,24,51,1000
50,34,72,3100
65,21,60,2300
61,14,63,1300
105,11,53,2200
18,29,66,1000
46,38,62,1800
98,19,79,1800
109,39,72,2500
50,43,69,800
109,44,55,300
66,30,76,3400
25,21,62,2900
80,13,56,3400
60,46,63,1300
103,27,67,3100
104,8,58,600
53,32,70,2400
67,12,74,1500
28,33,57,3400
19,44,70,1800
24,30,70,3900
99,41,75,1900
48,10,74,2700
98,51,77,2900
53,31,66,2100
65,43,71,700
79,5,77,2200
107,16,57,2600
48,46,64,2300
41,52,70,1400
19,26,78,2200
56,41,56,2100
62,24,80,0
63,6,59,3600
91,15,71,2400
97,17,51,3300
103,2,72,2400
28,9,77,1600
77,23,63,3400
87,51,64,2900
57,46,76,600
81,9,69,2200
75,44,68,1400
44,28,77,3100
108,20,63,2600
10,35,80,1500
39,27,77,2100
63,22,50,2600
84,20,78,1300
95,25,69,3500
54,5,79,3100
95,27,71,2300
94,18,55,3500
80,50,78,2200
104,48,76,0
50,41,59,2300
41,5,72,700
71,13,79,3300
104,50,72,4000
46,19,56,2100
85,3,56,3000
73,12,53,2000
89,44,78,400
42,47,58,2200
63,41,64,700
109,49,80,1000
52,26,66,3700
40,28,55,2800
21,42,70,3100
67,19,70,1100
24,17,54,700
43,2,61,2800
56,39,62,2400
63,50,70,2700
82,25,68,1300
63,44,68,200
39,34,62,200
99,45,64,1300
64,6,68,3900
91,9,71,3200
20,37,53,500
30,36,70,3500
105,9,77,700
43,37,67,3400
92,52,64,3000
92,20,79,3900
16,14,72,3900
96,5,80,2100
77,21,67,1800
31,13,75,1200
97,23,76,2300
11,32,52,900
75,1,75,100
42,28,70,200
98,26,61,1000
40,40,78,2700
108,14,61,1000
16,50,68,3800
93,15,65,900
59,41,80,2700
40,42,63,3100
55,15,62,3000
33,25,52,900
19,36,68,2400
52,20,73,1500
44,17,59,2800
34,38,68,2200
85,38,78,800
28,23,57,1900
48,43,63,800
78,6,57,3100
34,38,52,1600
107,4,70,2500
31,10,68,3600
88,4,54,1500
25,8,67,2000
72,17,68,600
50,45,74,200
86,47,54,2300
82,31,70,2000
25,2,79,100
60,46,77,2200
62,9,73,2000
72,26,62,900
23,22,72,0
10,19,64,3700
108,38,78,100
74,34,78,3600
29,1,56,100
70,50,69,2000
17,36,71,3400
43,35,60,2100
44,21,63,2400
51,5,57,1900
98,44,70,500
46,50,66,600
70,37,66,3800
34,37,51,2500
46,51,79,600
48,43,80,1000
34,6,53,500
58,52,52,1600
94,14,73,0
30,11,79,3900
31,18,72,2000
54,8,74,3700
52,41,56,500
38,35,62,2600
65,38,54,1100
89,47,53,3900
24,17,54,3400
22,14,68,2700
10,36,53,2200
80,44,57,600
100,35,55,2300
94,21,53,3000
14,34,72,4000
73,32,71,1000
89,17,75,1300
98,28,51,2600
37,37,71,3300
50,37,61,2400
40,47,64,2900
20,42,54,0
83,14,73,600
100,3,73,2600
79,38,68,3000
73,48,56,1200
70,22,57,2000
55,20,56,2300
93,47,58,2400
21,6,72,2600
25,11,61,900
22,46,76,1300
45,9,71,0
35,43,54,2500
38,3,65,4000
15,45,65,2700
73,21,61,1300
93,9,56,2400
15,42,71,2700
52,13,69,300
82,23,74,1900
65,17,53,4000
83,32,80,1400
80,25,80,900
42,1,57,0
53,32,52,700
82,45,56,800
71,3,54,2300
40,47,69,600
44,50,54,1600
88,22,72,100
49,9,51,1700
14,4,58,2500
61,38,66,2900
22,21,64,1100
89,31,61,600
78,43,65,2300
62,19,76,600
79,14,80,500
52,4,77,3700
81,36,63,400
37,21,79,3700
39,11,51,300
31,28,79,3000
71,18,72,600
16,4,62,2900
56,13,74,400
109,38,67,2800
98,43,71,200
57,3,69,2500
81,19,57,1900
74,43,65,1900
57,44,76,500
67,35,52,2300
63,29,53,2000
98,46,79,300
32,38,59,2900
13,31,80,1900
70,30,61,400
51,2,73,1700
109,32,65,2300
40,31,76,1900
41,48,65,2400
40,22,55,600
17,33,68,2700
16,14,74,2700
35,47,55,1500
90,17,54,0
81,29,56,1900
33,49,67,1600
90,39,75,2200
71,38,74,2600
24,4,77,3900
105,37,58,3900
72,3,78,3500
95,27,74,1400
94,3,56,1700
40,49,60,100
83,6,54,3600
60,38,51,1900
34,47,68,600
108,25,55,3500
34,26,78,2700
57,52,78,800
21,48,57,2200
74,8,50,1200
36,3,71,2900
74,18,77,3000
13,23,60,100
73,31,64,2300
77,48,58,600
57,15,71,800
10,52,80,2200
60,28,52,900
69,36,61,3800
50,13,73,800
31,23,66,1500
93,36,62,400
97,32,75,2500
60,47,77,2200
65,45,71,2600
26,50,63,600
107,5,77,1500
78,50,63,1100
101,25,67,400
47,32,53,1800
74,2,50,2400
57,17,68,1600
27,8,56,4000
94,46,52,900
69,21,54,3400
109,25,80,600
20,51,51,1700
91,24,55,4000
56,5,51,400
102,6,55,700
91,47,65,2900
80,44,54,1600
102,17,69,1100
67,37,70,3400
49,36,72,1900
12,50,71,2300
48,4,66,2300
68,42,68,2700
64,52,50,0
102,11,55,3700
97,45,68,1200
55,2,55,1700
89,36,68,1400
62,17,74,2900
10,25,74,1600
20,19,61,1400
12,21,63,200
34,22,77,4000
59,18,60,1300
99,20,76,3700
60,38,68,1200
18,37,79,200
71,2,50,2900
14,14,60,1700
29,15,59,0
45,38,71,2100
27,23,60,600
98,25,57,1900
83,15,62,4000
83,26,77,100
49,12,71,100
69,40,54,600
89,5,65,600
12,39,74,2900
24,4,61,2400
65,5,63,3800
92,40,62,3300
95,37,56,3200
13,48,67,4000
72,38,66,600
69,39,54,4000
95,47,66,2000
94,51,51,300
101,44,78,3800
55,50,59,100
69,14,75,700
60,43,77,2500
86,52,71,1300
60,28,52,2900
24,5,80,2500
45,9,80,2300
84,16,60,3600
17,27,52,3800
43,38,67,3200
57,43,62,2500
82,6,78,1300
59,35,77,1200
16,17,76,1100
13,41,64,100
69,22,75,3200
91,20,60,3100
36,17,68,1500
68,16,53,3500
38,13,72,1600
86,43,61,3400
101,46,60,2700
46,35,53,3000
88,8,55,3800
100,41,70,1000
38,36,54,4000
105,28,78,2000
51,45,56,200
52,16,76,4000
68,30,74,2100
18,13,73,400
40,43,68,1100
108,34,59,3300
52,32,55,3300
53,16,56,700
60,25,60,2800
56,9,59,3400
70,26,51,1200
66,36,55,3400
96,18,76,3700
93,21,74,100
36,49,53,0
28,12,62,300
28,30,61,800
105,25,57,1000
45,10,59,1500
36,30,56,700
18,13,79,2100
52,28,76,900
12,41,80,400
65,3,62,2300
43,36,66,700
12,16,72,1000
16,19,69,400
81,10,80,1400
102,48,64,600
72,24,73,1900
44,39,70,2300
78,40,69,2800
36,50,75,2100
102,19,77,1900
67,42,65,2600
46,41,66,2300
29,12,66,4000
85,38,66,1600
85,31,67,300
33,25,74,3200
10,42,75,500
59,36,53,100
29,2,56,1000
74,6,78,2200
106,4,62,1100
32,41,62,2200
45,9,52,1100
47,25,60,3100
19,47,78,3100
96,40,66,3100
92,51,59,3000
102,28,53,4000
18,7,56,0
88,23,79,1800
56,51,76,4000
74,30,51,2400
43,39,73,0
81,5,53,600
15,30,75,2000
100,13,60,2000
16,24,52,4000
21,13,68,1500
91,11,71,900
109,49,79,300
39,35,69,1500
87,40,59,300
104,50,63,3500
39,40,52,3300
67,37,54,3600
57,13,73,1800
77,38,64,3500
104,35,69,200
43,31,72,2600
47,43,77,3500
89,34,66,1000
106,35,75,1000
84,51,78,1700
92,23,63,1500
72,40,64,3600
101,29,79,3000
24,12,70,3500
102,10,51,0
108,32,58,3100
98,39,71,200
53,33,62,3600
108,36,59,3800
98,1,76,900
50,33,70,1100
57,11,54,1500
32,18,73,900
44,22,77,1300
61,13,71,2700
92,16,75,3000
31,25,79,4000
54,28,72,0
96,11,68,3000
35,12,69,2100
109,39,60,300
50,47,69,3300
62,49,64,2700
25,25,65,100
79,29,77,1300
89,50,75,800
74,50,73,1000
67,36,58,3900
106,33,66,0
53,9,50,2100
52,4,60,2900
16,25,55,2500
79,39,51,2200
50,51,56,800
17,43,54,1300
56,18,74,3300
14,46,53,2300
87,43,57,0
84,48,69,100
96,47,50,1300
48,52,77,1800
45,18,58,3100
10,18,55,3200
58,4,80,1800
42,35,75,4000
69,25,53,2200
64,18,74,3600
10,27,56,2800
60,27,54,1200
74,13,74,900
36,33,70,3200
48,24,63,3300
10,29,76,3400
74,15,59,1200
79,39,52,1400
16,47,65,1100
100,34,54,1100
64,22,68,700
72,26,52,1200
55,47,64,600
98,34,60,3900
82,22,56,2500
23,48,65,3600
79,42,78,700
98,33,50,3800
75,44,78,3700
73,6,53,1300
15,45,58,1000
63,21,78,800
68,20,65,1200
33,24,54,3900
101,40,58,3500
21,49,77,3700
76,16,79,1300
14,16,58,300
108,30,51,2300
21,17,75,600
71,27,53,2400
94,23,75,500
83,41,72,300
22,21,59,1900
32,49,68,500
65,48,52,2300
18,36,61,1100
94,32,58,3600
42,34,53,2200
12,49,79,0
