sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;tienda;popular;2;1;11/10/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7;15/02/2018;6000000.0;microempresarial
femenino;comercio;variedades;tricentenario;3;5;20/11/2017;4000000.0;microempresarial
masculino;servicio;barberia;calasanz;2;12;26/09/2017;7377000.0;microempresarial
masculino;industria;fabrica de;aranjuez;3;4;24/10/2016;6500000.0;microempresarial
femenino;comercio;comidas rapidas;buenos aires;2;9;28/06/2019;1500000.0;microempresarial
masculino;comercio;variedades;andalucia;2;2;17/08/2018;7800000.0;microempresarial
femenino;servicio;peluqueria;pedregal;3;6;27/10/2017;7300000.0;microempresarial
femenino;servicio;jardineria;la francia;2;2;12/06/2017;7377000.0;microempresarial
femenino;comercio;variedades;santa cruz;2;2;14/06/2017;4000000.0;microempresarial
femenino;comercio;tienda;san javier no1;2;13;06/02/2018;7800000.0;microempresarial
femenino;comercio;variedades;la floresta;3;12;05/09/2017;7300000.0;microempresarial
femenino;comercio;variedades;belen;3;16;16/09/2016;6890000.0;microempresarial
masculino;comercio;tienda;las brisas;3;5;15/01/2018;6000000.0;microempresarial
femenino;comercio;peluqueria;castilla;3;5;11/08/2017;2500000.0;microempresarial
masculino;industria;fabrica de alimentos;san javier no1;2;13;27/10/2016;6800000.0;microempresarial
femenino;comercio;almacen de ropa en;cabecera san antonio ;2;80;22/09/2016;4000000.0;microempresarial
masculino;industria;variedades;cabecera san antonio ;2;80;24/07/2017;5000000.0;credioportuno
masculino;industria;fabrica de;guayabal;2;15;02/03/2016;4000000.0;microempresarial
masculino;industria;fabrica de;belen;2;16;24/05/2016;6500000.0;microempresarial
femenino;comercio;comidas rapidas;santander;2;6;27/07/2018;1200000.0;microempresarial
femenino;comercio;almacen de ropa en;prado;3;10;20/11/2017;7000000.0;microempresarial
femenino;comercio;comidas rapidas;santa cruz;2;2;22/03/2018;1500000.0;microempresarial
masculino;industria;fabrica de traperos;aranjuez;3;4;24/02/2016;2000000.0;microempresarial
femenino;comercio;variedades;castilla;3;5;15/02/2017;4000000.0;microempresarial
masculino;industria;fabrica de alimentos;san javier no2;3;13;29/02/2016;6890000.0;microempresarial
masculino;industria;fabrica de;san javier no1;1;13;15/08/2017;6000000.0;microempresarial
masculino;servicio;variedades;pedregal;3;6;24/04/2017;7000000.0;microempresarial
masculino;comercio;panaderia;cabecera san antonio ;2;80;27/04/2017;3000000.0;microempresarial
masculino;servicio;mantenimiento en;la milagrosa;2;9;16/05/2018;7000000.0;microempresarial
masculino;comercio;variedades;la floresta;3;12;16/08/2016;6000000.0;microempresarial
femenino;comercio;fabrica de;san javier no1;1;13;05/10/2017;7300000.0;microempresarial
masculino;comercio;tienda;cabecera san antonio ;3;80;21/05/2018;5500000.0;microempresarial
femenino;comercio;tienda de helados;robledo;3;7;23/05/2018;7800000.0;microempresarial
femenino;comercio;variedades;tricentenario;3;5;27/04/2017;7000000.0;microempresarial
femenino;comercio;miscelanea;villa hermosa;3;8;19/12/2016;6890000.0;microempresarial
masculino;servicio;mantenimiento en;andalucia;1;2;22/01/2016;6890000.0;microempresarial
femenino;comercio;tienda;bombona no1;3;10;05/10/2016;4000000.0;microempresarial
masculino;industria;fabrica de;santa cruz;2;2;30/09/2016;6890000.0;microempresarial
femenino;comercio;almacen de ropa en;manrique oriental;2;3;08/02/2017;1200000.0;microempresarial
femenino;comercio;fabrica de;villa liliam;1;13;06/02/2019;7800000.0;microempresarial
masculino;comercio;tienda;kennedy;2;6;27/09/2018;5000000.0;microempresarial
femenino;comercio;variedades;robledo;2;7;28/10/2016;6000000.0;microempresarial
femenino;comercio;tienda;santa cruz;2;2;04/04/2016;4000000.0;microempresarial
femenino;comercio;variedades;popular;2;1;29/02/2016;6500000.0;microempresarial
masculino;comercio;comidas rapidas;doce de octubre no1;2;6;21/05/2018;5000000.0;microempresarial
masculino;servicio;bares;san javier no1;2;13;16/07/2018;5000000.0;microempresarial
masculino;industria;fabrica de;buenos aires;3;9;06/03/2018;7800000.0;microempresarial
femenino;comercio;peluqueria;pedregal;3;6;18/04/2017;7000000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7;03/07/2018;4000000.0;microempresarial
femenino;comercio;tienda;robledo;2;7;05/09/2018;5000000.0;microempresarial
femenino;comercio;peluqueria;robledo;2;7;03/05/2018;6000000.0;microempresarial
femenino;agropecuaria;criadero de animales;la floresta;2;12;14/06/2016;6890000.0;microempresarial
masculino;comercio;almacen de ropa en;popular;1;1;18/10/2018;7800000.0;microempresarial
masculino;comercio;tienda;la milagrosa;3;9;20/02/2018;5000000.0;microempresarial
femenino;comercio;restaurante;enciso;3;8;09/03/2017;7000000.0;microempresarial
femenino;servicio;organización y;pedregal;3;6;12/10/2017;7377000.0;microempresarial
femenino;industria;fabrica de;el salvador;2;9;06/06/2017;7377000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;2;4;27/04/2018;3000000.0;microempresarial
masculino;servicio;restaurante;belen;3;16;03/04/2017;7350000.0;microempresarial
femenino;comercio;variedades;buenos aires;3;9;20/06/2017;1000000.0;microempresarial
masculino;comercio;tienda;aranjuez;1;4;04/09/2017;3000000.0;microempresarial
femenino;servicio;peluqueria;el salvador;2;60;19/09/2017;3000000.0;microempresarial
femenino;industria;fabrica de;la esperanza;1;6;12/04/2018;3000000.0;microempresarial
femenino;comercio;panaderia;playon de los ;2;2;22/11/2016;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;santa cruz;2;2;21/02/2017;6000000.0;microempresarial
masculino;comercio;tienda;robledo;1;7;18/12/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;3;7;29/01/2018;7800000.0;microempresarial
femenino;industria;fabrica de;barrio caicedo;2;9;16/03/2017;5000000.0;microempresarial
masculino;servicio;variedades;santo domingo savio ;1;1;28/02/2018;7000000.0;microempresarial
femenino;comercio;variedades;aranjuez;2;4;25/08/2016;3000000.0;microempresarial
masculino;servicio;comidas rapidas;robledo;2;7;29/03/2017;7377000.0;microempresarial
femenino;comercio;tienda;popular;2;1;29/06/2017;7300000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7;09/03/2017;6000000.0;microempresarial
masculino;comercio;tienda;el salvador;3;9;12/04/2016;1000000.0;microempresarial
femenino;comercio;miscelanea;centro admtivo;1;10;15/02/2018;5000000.0;microempresarial
femenino;comercio;variedades;doce de octubre no1;2;6;02/03/2017;3000000.0;microempresarial
masculino;comercio;fabrica de;centro admtivo;2;10;24/01/2018;4500000.0;microempresarial
femenino;comercio;fabrica de alimentos;campo valdes no2;1;3;24/11/2017;3000000.0;microempresarial
masculino;comercio;variedades;campo valdes no1;3;4;06/06/2018;4000000.0;microempresarial
femenino;servicio;fabrica de arepas;villa hermosa;3;8;24/08/2016;1050000.0;microempresarial
femenino;industria;carpinteria;belen;3;16;30/01/2018;7800000.0;microempresarial
femenino;comercio;variedades;calasanz;3;12;16/05/2018;3000000.0;microempresarial
femenino;servicio;variedades;las palmas;2;10;22/12/2017;4400000.0;microempresarial
masculino;comercio;tienda;girardot;3;5;16/05/2019;8200000.0;microempresarial
masculino;servicio;drogueria;cabecera san cristobal;2;60;12/07/2018;7800000.0;microempresarial
femenino;industria;fabrica de;moravia;2;4;01/06/2018;7800000.0;microempresarial
femenino;comercio;tienda;enciso;2;8;18/04/2017;7000000.0;microempresarial
femenino;comercio;almacen de ropa en;cabecera san antonio ;2;80;09/02/2017;7377000.0;microempresarial
femenino;comercio;tienda de helados;san javier no1;2;13;27/09/2017;30000000.0;empresarial ed.
femenino;comercio;almacen de ropa en;antonio nariño;2;13;16/08/2016;6890000.0;microempresarial
masculino;comercio;productos de mar;santa cruz;2;2;07/06/2018;2500000.0;microempresarial
femenino;agropecuaria;criadero de animales;cabecera san antonio ;2;80;05/12/2017;7300000.0;microempresarial
masculino;servicio;cafe e internet;moravia;3;4;13/02/2018;3000000.0;microempresarial
femenino;industria;fabrica de;popular;2;1;24/08/2018;7800000.0;microempresarial
masculino;industria;ebanistaria;manrique oriental;2;3;06/12/2016;6500000.0;microempresarial
femenino;comercio;variedades;las palmas;2;8;22/05/2018;4400000.0;microempresarial
masculino;agropecuaria;sembrados;santa elena central;2;90;26/07/2017;10000000.0;agropecuaria
femenino;comercio;variedades;aranjuez;3;4;02/02/2018;36.0;microempresarial
masculino;industria;fabrica de calzado;el socorro;2;13;12/12/2017;7370000.0;microempresarial
masculino;industria;fabrica de;doce de octubre no1;1;6;27/07/2016;6800000.0;microempresarial
femenino;comercio;fabrica de helados;manrique central no1;2;4;04/10/2016;6000000.0;microempresarial
femenino;comercio;miscelanea;lopez de mesa;3;7;18/10/2017;2000000.0;microempresarial
femenino;comercio;bares;aures no2;2;7;01/03/2019;2500000.0;microempresarial
masculino;servicio;variedades;popular;2;1;31/08/2017;5000000.0;microempresarial
femenino;comercio;miscelanea;buenos aires;2;9;24/01/2017;7370000.0;microempresarial
femenino;comercio;papeleria;cabecera san antonio ;2;80;11/12/2018;2000000.0;microempresarial
masculino;servicio;restaurante;centro admtivo;3;10;08/11/2017;4000000.0;microempresarial
femenino;comercio;carniceria;robledo;3;7;13/10/2017;4000000.0;microempresarial
femenino;industria;fabrica de;castilla;2;5;18/01/2019;8200000.0;microempresarial
femenino;comercio;comidas rapidas;san jose de la cima no. ;1;3;16/02/2018;2000000.0;microempresarial
femenino;servicio;comidas rapidas;palermo;1;4;18/08/2016;3500000.0;microempresarial
masculino;servicio;tienda;13 de noviembre;1;8;15/08/2017;7200000.0;microempresarial
femenino;servicio;mantenimiento en;tejelo;3;5;03/04/2017;7377000.0;microempresarial
femenino;industria;fabrica de;doce de octubre no1;1;6;15/04/2016;2000000.0;microempresarial
femenino;comercio;variedades;francisco antonio zea;2;5;09/02/2018;781000.0;microempresarial
femenino;comercio;tienda;picacho;1;6;29/05/2019;8200000.0;microempresarial
masculino;comercio;almacen de ropa en;girardot;3;5;23/02/2017;3000000.0;microempresarial
masculino;industria;carpinteria;manrique oriental;1;3;16/12/2016;6900000.0;microempresarial
femenino;servicio;peluqueria;buenos aires;3;9;13/06/2017;7377000.0;microempresarial
femenino;comercio;variedades;el salvador;2;9;27/10/2017;6500000.0;microempresarial
masculino;servicio;cafeteria;santa elena central;2;90;16/05/2016;6000000.0;microempresarial
masculino;servicio;barberia;robledo;2;7;08/05/2018;6000000.0;microempresarial
masculino;comercio;peluqueria;belen;3;16;08/06/2018;7800000.0;microempresarial
femenino;industria;fabrica de;la loma oriental;2;60;16/12/2016;6890000.0;microempresarial
masculino;servicio;barberia;la loma;1;60;24/08/2018;7800000.0;microempresarial
femenino;servicio;cafe e internet;buenos aires;3;9;05/12/2016;6890000.0;microempresarial
femenino;servicio;fabrica de;castilla;3;5;09/02/2017;7377000.0;microempresarial
masculino;comercio;variedades;barrio caicedo;2;9;24/10/2017;7300000.0;microempresarial
masculino;industria;fabrica de;manrique oriental;2;3;18/06/2018;4000000.0;microempresarial
masculino;servicio;peluqueria;robledo;2;7;21/02/2018;7000000.0;microempresarial
femenino;servicio;comidas rapidas;florencia;3;5;18/10/2018;1500000.0;microempresarial
femenino;comercio;comidas rapidas;andalucia;2;2;21/06/2018;5000000.0;microempresarial
masculino;servicio;mantenimiento en;enciso;3;8;27/09/2018;7800000.0;microempresarial
masculino;comercio;comidas rapidas;doce de octubre no1;2;6;24/10/2018;4000000.0;microempresarial
femenino;industria;fabrica de;manrique central no2;2;3;12/06/2019;4500000.0;microempresarial
masculino;industria;fabrica de muebles;cabecera san cristobal;3;60;26/10/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;aranjuez;3;4;13/06/2017;4000000.0;microempresarial
masculino;industria;fabrica de alimentos;robledo;3;7;01/11/2018;7800000.0;microempresarial
femenino;comercio;tienda;robledo;2;7;13/02/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;san javier no1;1;13;14/03/2018;7800000.0;microempresarial
femenino;servicio;cafe e internet;robledo;1;7;24/06/2016;6000000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;1;4;13/11/2018;2500000.0;microempresarial
femenino;comercio;legumbreria;manrique central no2;2;3;14/04/2016;6000000.0;microempresarial
masculino;servicio;cafe e internet;buenos aires;3;9;06/02/2018;4000000.0;microempresarial
femenino;comercio;variedades;robledo;1;7;24/08/2018;7800000.0;microempresarial
femenino;industria;fabrica de;la floresta;2;13;21/12/2018;5000000.0;microempresarial
femenino;comercio;variedades;cabecera san antonio ;2;80;17/06/2016;6800000.0;microempresarial
masculino;comercio;panaderia;pedregal alto;3;60;04/12/2017;7000000.0;microempresarial
masculino;comercio;ferreteria;villa del socorro;1;2;15/02/2018;7800000.0;microempresarial
femenino;comercio;variedades;buenos aires;3;9;01/08/2018;1000000.0;microempresarial
femenino;industria;fabrica de;la libertad;2;8;31/05/2018;7800000.0;microempresarial
femenino;comercio;variedades;el chagualo;3;10;25/05/2018;7800000.0;microempresarial
femenino;comercio;miscelanea;popular;1;1;26/10/2016;4000000.0;microempresarial
femenino;industria;fabrica de arepas;san javier no1;3;13;15/06/2016;6500000.0;microempresarial
femenino;industria;fabrica de;aranjuez;2;4;22/03/2018;3400000.0;microempresarial
masculino;comercio;comidas rapidas;popular;2;1;22/11/2017;4000000.0;microempresarial
masculino;comercio;tienda;picacho;1;6;04/05/2018;7000000.0;microempresarial
femenino;industria;fabrica de;campo valdes no1;3;4;25/01/2019;5000000.0;microempresarial
femenino;servicio;tienda;enciso;2;8;25/04/2017;5000000.0;microempresarial
femenino;industria;fabrica de;santa cruz;2;2;17/07/2018;7800000.0;microempresarial
masculino;industria;fabrica de;trinidad;3;15;19/05/2016;3000000.0;microempresarial
femenino;comercio;fabrica de arepas;barrio caicedo;2;9;20/03/2019;4000000.0;microempresarial
femenino;industria;fabrica de;robledo;2;7;17/08/2018;5000000.0;microempresarial
femenino;comercio;variedades;el poblado;3;14;16/06/2017;7000000.0;microempresarial
femenino;comercio;comidas rapidas;santa cruz;2;2;03/12/2018;6000000.0;microempresarial
masculino;comercio;almacen de ropa en;santa cruz;2;2;05/02/2019;8000000.0;microempresarial
femenino;industria;carpinteria;cabecera san antonio ;2;80;15/09/2016;6500000.0;microempresarial
masculino;servicio;recreativo educativo;cabecera san cristobal;3;60;06/02/2019;7800000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;2;4;27/06/2019;8281000.0;microempresarial
masculino;industria;fabrica de repuestos;la floresta;2;12;09/07/2018;7800000.0;microempresarial
femenino;comercio;tienda;la francia;2;2;08/04/2019;6000000.0;microempresarial
masculino;servicio;comidas rapidas;castilla;2;5;26/04/2016;6890000.0;microempresarial
femenino;servicio;distribuidora de;san javier no1;2;13;03/04/2017;7000000.0;microempresarial
masculino;industria;fabrica de repuestos;guayabal;3;15;29/12/2017;7300000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;2;4;21/08/2018;3000000.0;microempresarial
femenino;comercio;almacen de ropa en;20 de julio;1;13;08/06/2018;2000000.0;microempresarial
masculino;comercio;variedades;la milagrosa;3;9;09/03/2018;5000000.0;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;24/09/2018;7800000.0;microempresarial
femenino;servicio;recreativo educativo;castilla;3;5;17/12/2018;7500000.0;microempresarial
masculino;comercio;distribuidora de;villa hermosa;3;8;04/08/2017;7300000.0;microempresarial
femenino;comercio;restaurante;manrique central no1;2;4;27/09/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;buenos aires;3;9;14/06/2017;7300000.0;microempresarial
femenino;comercio;taller de electronica;barrio caicedo;1;9;14/11/2018;3000000.0;microempresarial
femenino;industria;fabrica de;castilla;3;5;04/01/2019;7800000.0;microempresarial
femenino;comercio;variedades;la pradera;2;13;10/07/2017;7370000.0;microempresarial
masculino;servicio;productos de belleza;robledo;2;4;10/07/2018;5000000.0;microempresarial
femenino;industria;fabrica de muebles;castilla;3;5;22/09/2017;4000000.0;microempresarial
masculino;industria;fabrica de;buenos aires;3;9;12/06/2019;2500000.0;microempresarial
femenino;industria;fabrica de;san pablo;2;1;21/02/2018;1000000.0;microempresarial
masculino;comercio;almacen de ropa en;robledo;2;7;10/07/2017;7377000.0;microempresarial
femenino;comercio;tienda;manrique central no2;3;3;22/05/2019;5000000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;2;7;27/01/2017;4000000.0;microempresarial
femenino;comercio;variedades;jardin botanico;2;3;30/01/2019;4000000.0;microempresarial
masculino;industria;fabrica de;manrique oriental;1;3;03/10/2018;7800000.0;microempresarial
masculino;servicio;lavanderia;robledo;3;7;09/07/2018;7800000.0;microempresarial
femenino;industria;fabrica de;buenos aires;1;9;12/07/2018;4000000.0;microempresarial
femenino;comercio;venta de calzado;belen;2;16;19/10/2016;4000000.0;microempresarial
masculino;servicio;taller de electronica;san javier no1;3;13;15/02/2019;8122200.0;microempresarial
masculino;comercio;tienda;manrique central no1;3;4;10/05/2018;7800000.0;microempresarial
masculino;comercio;papeleria;el salvador;3;9;26/04/2019;7000000.0;microempresarial
masculino;comercio;carpinteria;cabecera san cristobal;2;60;01/08/2018;3000000.0;microempresarial
masculino;industria;ebanistaria;belencito;2;13;04/11/2016;4000000.0;microempresarial
masculino;industria;fabrica de;cabecera san cristobal;2;60;19/12/2018;4000000.0;microempresarial
masculino;comercio;tienda;san antonio;3;8;21/06/2019;4500000.0;microempresarial
femenino;servicio;criadero de animales;belen;2;16;09/03/2017;4000000.0;microempresarial
femenino;comercio;variedades;miranda;2;4;01/02/2018;2000000.0;microempresarial
femenino;industria;fabrica de;tejelo;3;5;24/04/2017;5000000.0;microempresarial
masculino;servicio;recreativo educativo;la esperanza;3;6;07/03/2016;6890000.0;microempresarial
masculino;industria;ebanistaria;belencito;2;13;18/05/2018;2000000.0;microempresarial
femenino;industria;fabrica de;las esmeraldas;2;4;06/03/2018;3000000.0;microempresarial
femenino;servicio;recreativo educativo;robledo;2;7;19/05/2016;2000000.0;microempresarial
masculino;comercio;comidas rapidas;barrio caicedo;1;9;03/10/2018;7500000.0;microempresarial
masculino;comercio;restaurante;belen;2;16;23/02/2017;5000000.0;microempresarial
masculino;industria;comidas rapidas;moravia;2;4;27/06/2018;3500000.0;microempresarial
masculino;industria;fabrica de productos;santander;2;6;18/08/2017;7377000.0;microempresarial
masculino;industria;panaderia;castilla;2;5;16/05/2017;7370000.0;microempresarial
femenino;comercio;variedades;buenos aires;3;9;15/02/2017;6800000.0;microempresarial
masculino;industria;fabrica de;campo valdes no1;2;4;07/03/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;aranjuez;2;4;13/08/2018;7812242.0;microempresarial
femenino;servicio;mantenimiento en;doce de octubre no1;1;6;27/01/2017;6000000.0;microempresarial
femenino;comercio;variedades;santander;2;6;21/06/2018;6000000.0;microempresarial
femenino;industria;fabrica de;campo valdes no1;3;4;30/11/2017;7000000.0;microempresarial
masculino;comercio;tienda de helados;campo valdes no1;2;4;11/04/2016;6890000.0;microempresarial
masculino;comercio;tienda;belencito;2;13;10/03/2016;6890000.0;microempresarial
femenino;servicio;peluqueria;campo valdes no1;3;4;03/04/2018;7800000.0;microempresarial
masculino;servicio;organización y;florencia;3;5;21/08/2018;6000000.0;microempresarial
femenino;industria;fabrica de;santa cruz;2;2;09/07/2018;4500000.0;microempresarial
masculino;comercio;variedades;robledo;2;7;17/01/2017;7377000.0;microempresarial
masculino;industria;fabrica de;pablo vi;2;2;16/05/2017;7000000.0;microempresarial
femenino;servicio;comidas rapidas;boyaca;3;5;06/03/2018;6000000.0;microempresarial
masculino;servicio;variedades;robledo;2;7;30/12/2016;4000000.0;microempresarial
femenino;comercio;tienda;manrique central no2;2;3;06/05/2016;3500000.0;microempresarial
femenino;industria;fabrica de;robledo;2;7;10/07/2018;3800000.0;microempresarial
masculino;comercio;cafeteria;santa cruz;2;2;08/08/2018;7800000.0;microempresarial
femenino;comercio;variedades;belen;3;16;12/07/2017;7370000.0;microempresarial
femenino;comercio;variedades;la francia;2;2;01/08/2018;6000000.0;microempresarial
masculino;comercio;legumbreria;pedregal;3;6;15/03/2018;7800000.0;microempresarial
masculino;comercio;variedades;campo valdes no1;3;4;07/03/2018;7000000.0;microempresarial
masculino;comercio;restaurante;boyaca;3;5;05/05/2017;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;1;7;17/05/2017;6000000.0;microempresarial
femenino;comercio;variedades;prado;3;10;18/04/2016;6890000.0;microempresarial
femenino;servicio;servicios;robledo;2;7;19/07/2017;7300000.0;microempresarial
femenino;comercio;distribuidora de;cabecera san cristobal;2;60;17/08/2017;4000000.0;microempresarial
femenino;industria;fabrica de;picacho;1;6;07/09/2016;4000000.0;microempresarial
femenino;comercio;fabrica de;santa cruz;2;2;18/07/2018;7812000.0;microempresarial
masculino;industria;fabrica de;doce de octubre no1;1;6;31/05/2017;5000000.0;microempresarial
femenino;comercio;variedades;picacho;2;6;04/07/2018;5000000.0;microempresarial
femenino;servicio;mantenimiento en;san joaquin;3;11;09/08/2018;7800000.0;microempresarial
femenino;comercio;variedades;castilla;3;5;02/09/2016;6000000.0;microempresarial
masculino;servicio;mantenimiento en;la america;3;12;10/05/2016;6890000.0;microempresarial
masculino;industria;fabrica de;robledo;2;7;15/11/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;manrique oriental;2;7;30/05/2018;7800000.0;microempresarial
femenino;industria;fabrica de;manrique central no2;2;3;29/01/2018;7800000.0;microempresarial
femenino;servicio;cafe e internet;san javier no1;1;13;31/10/2018;3000000.0;microempresarial
masculino;comercio;comidas rapidas;enciso;2;8;12/06/2019;8000000.0;microempresarial
femenino;comercio;tienda;campo valdes no1;3;4;25/02/2016;300000.0;microempresarial
femenino;comercio;almacen de ropa en;villa niza;2;2;12/04/2018;5000000.0;microempresarial
masculino;comercio;almacen de ropa en;barrio caicedo;1;9;14/08/2018;5500000.0;microempresarial
femenino;industria;fabrica de;la francia;2;2;01/11/2016;6890000.0;microempresarial
masculino;comercio;distribuidora de;el pinal;2;8;03/04/2019;8281000.0;microempresarial
femenino;industria;fabrica de;buenos aires;3;9;11/03/2019;8000000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;2;4;24/04/2018;5000000.0;microempresarial
masculino;comercio;restaurante;la colina;3;15;20/06/2017;4000000.0;microempresarial
femenino;industria;fabrica de;santander;3;6;08/02/2017;3500000.0;microempresarial
masculino;industria;fabrica de;campo valdes no1;2;4;06/12/2017;7300000.0;microempresarial
femenino;industria;variedades;aranjuez;3;4;11/10/2018;3000000.0;microempresarial
femenino;servicio;mantenimiento en;buenos aires;1;9;16/11/2017;7000000.0;microempresarial
masculino;comercio;variedades;robledo;2;7;26/01/2018;5000000.0;microempresarial
masculino;comercio;comidas rapidas;aranjuez;2;4;10/05/2018;1500000.0;microempresarial
femenino;industria;fabrica de repuestos;san benito;3;10;28/05/2018;5000000.0;microempresarial
femenino;servicio;peluqueria;aranjuez;3;4;14/02/2017;6000000.0;microempresarial
femenino;industria;variedades;aranjuez;3;4;04/05/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;3;7;22/02/2018;5000000.0;microempresarial
femenino;industria;fabrica de;aranjuez;3;4;10/04/2018;3000000.0;microempresarial
masculino;comercio;fabrica de calzado;manila;3;14;22/04/2019;1500000.0;microempresarial
femenino;comercio;comidas rapidas;robledo;2;7;06/12/2017;7300000.0;microempresarial
masculino;industria;carpinteria;santa cruz;1;2;11/08/2016;4000000.0;microempresarial
masculino;comercio;fabrica de alimentos;popular;2;1;07/11/2018;7800000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;3;4;17/05/2018;5000000.0;microempresarial
femenino;industria;fabrica de;lopez de mesa;3;7;20/09/2017;5000000.0;microempresarial
femenino;comercio;variedades;pedregal;3;6;25/10/2017;7377000.0;microempresarial
femenino;industria;fabrica de;popular;2;1;31/08/2016;6000000.0;microempresarial
femenino;industria;fabrica de;robledo;1;7;21/02/2019;7000000.0;microempresarial
femenino;industria;fabrica de;manrique central no2;2;3;10/08/2017;3000000.0;microempresarial
femenino;comercio;variedades;enciso;2;8;26/10/2017;1000000.0;microempresarial
masculino;comercio;variedades;campo valdes no1;3;4;16/07/2018;7800000.0;microempresarial
femenino;servicio;comidas rapidas;buenos aires;3;9;12/07/2016;6000000.0;microempresarial
femenino;comercio;comidas rapidas;la palma;2;16;22/06/2018;7000000.0;microempresarial
femenino;industria;fabrica de helados;olaya herrera;1;7;14/06/2018;4500000.0;microempresarial
femenino;agropecuaria;criadero de animales;cabecera san antonio ;2;80;09/10/2017;14000000.0;agropecuaria
femenino;servicio;peluqueria;belen;3;16;03/11/2016;6890000.0;microempresarial
femenino;industria;fabrica de;buenos aires;3;9;09/05/2018;6000000.0;microempresarial
femenino;industria;fabrica de;belen;1;16;09/07/2018;5000000.0;microempresarial
femenino;comercio;miscelanea;campo valdes no1;2;4;29/05/2019;6000000.0;microempresarial
femenino;comercio;cafeteria;pablo vi;2;2;06/09/2017;7000000.0;microempresarial
masculino;industria;carpinteria;san martin de porres;2;6;15/06/2016;6890000.0;microempresarial
femenino;servicio;comidas rapidas;la cruz;1;3;16/02/2018;7000000.0;microempresarial
femenino;servicio;peluqueria;robledo;3;7;15/07/2016;6890000.0;microempresarial
femenino;comercio;venta de calzado;picachito;1;6;09/05/2018;4000000.0;microempresarial
femenino;comercio;tienda;la pradera;2;13;13/09/2017;4400000.0;credioportuno
masculino;comercio;variedades;playon de los ;1;2;09/02/2018;7000000.0;microempresarial
masculino;comercio;billares;cabecera san cristobal;2;60;22/09/2016;6890000.0;microempresarial
